ofs,nom,district,dist_ems_km,pop_totale,pop_80plus,part_80plus,indice_pouvoir_achat,prix_m2_appart,prix_fiabilite,lits_pour_100_district,demande_score,tension_score,pouvoir_achat_score,prix_bas_score
5401,Aigle,Aigle,0.57,11752.0,589.0,5.0,28.3,6970.0,indicative (1-4),23.7,42.7,1.2,28.3,85.3
5404,Corbeyrier,Aigle,3.81,452.0,53.0,11.7,23.8,9277.0,indicative (1-4),23.7,100.0,8.3,23.8,75.3
5405,Gryon,Aigle,3.31,1519.0,84.0,5.5,22.4,9200.0,indicative (1-4),23.7,47.0,7.2,22.4,75.6
5423,Ballens,Morges,4.02,579.0,32.0,5.5,30.9,9944.0,indicative (1-4),8.8,47.0,83.8,30.9,72.4
5557,Fontaines-sur-Grandson,Jura-Nord vaudois,1.63,219.0,7.0,3.2,20.8,7977.0,estimé (voisinage),17.0,27.4,37.3,20.8,80.9
5588,Paudex,Lavaux-Oron,3.37,1509.0,99.0,6.6,44.7,12542.0,indicative (1-4),9.3,56.4,79.8,44.7,61.0
5645,Romanel-sur-Morges,Morges,3.19,454.0,26.0,5.7,61.6,4887.0,annonces (surface estimée),8.8,48.7,82.0,61.6,94.4
5704,Begnins,Nyon,3.34,2035.0,172.0,8.5,54.0,9336.0,annonces (surface estimée),11.0,72.6,71.2,54.0,75.0
5717,Founex,Nyon,5.11,3763.0,166.0,4.4,63.6,12190.0,indicative (1-4),11.0,37.6,75.1,63.6,62.6
5792,Montpreveyres,Lavaux-Oron,3.15,656.0,19.0,2.9,33.0,7567.0,estimé (voisinage),9.3,24.8,79.4,33.0,82.7
5822,Payerne,Broye-Vully,6.66,10758.0,502.0,4.7,23.7,8688.0,solide (5+),17.0,40.2,48.3,23.7,77.8
5855,Dully,Nyon,3.07,620.0,27.0,4.4,77.1,21429.0,annonces (surface estimée),11.0,37.6,70.6,77.1,22.3
5882,Chardonne,Riviera-Pays-d'Enhaut,1.62,3337.0,244.0,7.3,44.4,13634.0,solide (5+),17.4,62.4,35.2,44.4,56.3
2129,Corbières,La Gruyère,1.55,1042.0,27.0,2.6,43.2,,,20.0,22.2,22.0,43.2,
2196,Fribourg,La Sarine,0.0,39151.0,2171.0,5.5,23.7,,,19.1,47.0,23.2,23.7,
2220,Le Mouret,La Sarine,2.0,3354.0,142.0,4.2,27.9,,,19.1,35.9,27.5,27.9,
2254,Courtepin,See,0.3,5772.0,192.0,3.3,32.4,,,15.1,28.2,43.9,32.4,
2261,Greng,See,3.5,176.0,8.0,4.5,100.0,,,15.1,38.5,50.9,100.0,
5726,La Rippe,Nyon,8.75,1196.0,43.0,3.6,60.8,11869.0,estimé (voisinage),11.0,30.8,83.0,60.8,64.0
5812,Champtauroz,Broye-Vully,4.82,196.0,8.0,4.1,24.5,8443.0,indicative (1-4),17.0,35.0,44.2,24.5,78.9
5821,Missy,Broye-Vully,4.35,383.0,21.0,5.5,28.8,5493.0,estimé (voisinage),17.0,47.0,43.2,28.8,91.8
6628,Lancy,Genève,0.55,37259.0,1942.0,5.2,20.1,,,12.4,44.4,58.1,20.1,
5434,Saint-George,Nyon,7.62,1081.0,43.0,4.0,44.1,10063.0,annonces (surface estimée),11.0,34.2,80.6,44.1,71.8
5499,Senarclens,Morges,2.3,480.0,25.0,5.2,38.8,9052.0,estimé (voisinage),8.8,44.4,80.0,38.8,76.2
5640,Lussy-sur-Morges,Morges,4.18,719.0,58.0,8.1,64.7,12914.0,estimé (voisinage),8.8,69.2,84.1,64.7,59.4
5656,Hautemorges,Morges,1.23,4383.0,212.0,4.8,42.7,8525.0,indicative (1-4),8.8,41.0,77.7,42.7,78.5
2198,Granges-Paccot,La Sarine,1.56,3983.0,105.0,2.6,41.7,,,19.1,22.2,26.6,41.7,
2211,Neyruz (FR),La Sarine,1.0,2869.0,97.0,3.4,37.3,,,19.1,29.1,25.3,37.3,
2325,Châtel-Saint-Denis,La Veveyse,3.7,8786.0,322.0,3.7,29.9,,,19.6,31.6,28.7,29.9,
2125,Bulle,La Gruyère,2.03,27101.0,1224.0,4.5,33.1,,,20.0,38.5,23.1,33.1,
2250,Courgevaux,See,4.37,1458.0,61.0,4.2,39.8,,,15.1,35.9,52.8,39.8,
5473,Boussens,Gros-de-Vaud,1.67,1006.0,22.0,2.2,60.3,17182.0,indicative (1-4),14.0,18.8,52.5,60.3,40.8
5553,Champagne,Jura-Nord vaudois,2.92,1070.0,32.0,3.0,45.7,7097.0,indicative (1-4),17.0,25.6,40.1,45.7,84.8
5562,Mauborget,Jura-Nord vaudois,2.11,145.0,10.0,6.9,19.3,7977.0,estimé (voisinage),17.0,59.0,38.3,19.3,80.9
5564,Novalles,Jura-Nord vaudois,0.97,106.0,5.0,4.7,36.1,8333.0,estimé (voisinage),17.0,40.2,35.8,36.1,79.4
5607,Puidoux,Lavaux-Oron,1.58,2974.0,101.0,3.4,36.5,24468.0,indicative (1-4),9.3,29.1,75.9,36.5,9.0
5705,Bogis-Bossey,Nyon,6.01,991.0,32.0,3.2,48.4,11869.0,estimé (voisinage),11.0,27.4,77.0,48.4,64.0
5742,Agiez,Jura-Nord vaudois,2.39,372.0,9.0,2.4,28.9,6832.0,estimé (voisinage),17.0,20.5,38.9,28.9,85.9
5843,Rougemont,Riviera-Pays-d'Enhaut,6.78,813.0,75.0,9.2,12.5,7828.0,estimé (voisinage),17.4,78.6,46.5,12.5,81.6
5852,Bursinel,Nyon,3.44,532.0,18.0,3.4,57.2,14495.0,indicative (1-4),11.0,29.1,71.4,57.2,52.5
5858,Luins,Nyon,2.52,633.0,20.0,3.2,67.1,4805.0,indicative (1-4),11.0,27.4,69.4,67.1,94.8
5883,Corseaux,Riviera-Pays-d'Enhaut,2.52,2320.0,211.0,9.1,49.9,11439.0,indicative (1-4),17.4,77.8,37.2,49.9,65.8
6612,Chêne-Bougeries,Genève,0.36,14342.0,1174.0,8.2,47.3,,,12.4,70.1,57.7,47.3,
6613,Chêne-Bourg,Genève,0.62,9578.0,449.0,4.7,15.7,,,12.4,40.2,58.2,15.7,
6614,Choulex,Genève,2.64,1232.0,75.0,6.1,51.4,,,12.4,52.1,62.6,51.4,
6621,Genève,Genève,0.44,209061.0,11144.0,5.3,15.5,,,12.4,45.3,57.8,15.5,
6644,Versoix,Genève,0.71,13996.0,757.0,5.4,17.0,,,12.4,46.2,58.4,17.0,
5482,Eclépens,Morges,2.15,1210.0,53.0,4.4,73.9,6086.0,estimé (voisinage),8.8,37.6,79.7,73.9,89.2
5565,Onnens (VD),Jura-Nord vaudois,1.35,513.0,24.0,4.7,44.5,5336.0,indicative (1-4),17.0,40.2,36.7,44.5,92.5
5601,Chexbres,Lavaux-Oron,0.54,2261.0,232.0,10.3,41.5,14645.0,indicative (1-4),9.3,88.0,73.7,41.5,51.9
5633,Echandens,Morges,0.68,2999.0,216.0,7.2,55.1,13381.0,annonces (surface estimée),8.8,61.5,76.5,55.1,57.4
5715,Duillier,Nyon,1.88,1140.0,45.0,3.9,54.4,8278.0,indicative (1-4),11.0,33.3,68.0,54.4,79.6
5719,Gingins,Nyon,7.92,1256.0,77.0,6.1,57.4,12180.0,annonces (surface estimée),11.0,52.1,81.2,57.4,62.6
5748,Bretonnières,Jura-Nord vaudois,5.26,261.0,11.0,4.2,40.0,6832.0,estimé (voisinage),17.0,35.9,45.2,40.0,85.9
5761,Romainmôtier-Envy,Jura-Nord vaudois,5.41,560.0,25.0,4.5,12.4,6086.0,estimé (voisinage),17.0,38.5,45.5,12.4,89.2
5804,Jorat-Menthue,Gros-de-Vaud,6.02,1574.0,74.0,4.7,42.1,7118.0,solide (5+),14.0,40.2,62.0,42.1,84.7
5863,Vinzel,Nyon,3.5,387.0,9.0,2.3,55.5,9336.0,estimé (voisinage),11.0,19.7,71.6,55.5,75.0
5905,Champvent,Jura-Nord vaudois,3.69,724.0,28.0,3.9,36.5,5986.0,annonces (surface estimée),17.0,33.3,41.8,36.5,89.6
5910,Cronay,Jura-Nord vaudois,3.54,426.0,19.0,4.5,33.6,6714.0,solide (5+),17.0,38.5,41.5,33.6,86.4
6631,Onex,Genève,0.28,18915.0,1433.0,7.6,7.8,,,12.4,65.0,57.5,7.8,
2016,Fétigny,La Broye,4.36,1284.0,42.0,3.3,28.9,,,14.5,28.2,55.8,28.9,
2025,Lully (FR),La Broye,2.46,1226.0,44.0,3.6,34.1,,,14.5,30.8,51.7,34.1,
2131,Echarlens,La Gruyère,1.83,846.0,34.0,4.0,41.2,,,20.0,34.2,22.6,41.2,
2208,Matran,La Sarine,1.6,1906.0,57.0,3.0,43.1,,,19.1,25.6,26.6,43.1,
2230,Villarsel-sur-Marly,La Sarine,1.78,69.0,0.0,0.0,24.6,,,19.1,0.0,27.0,24.6,
2265,Kerzers,See,2.15,5466.0,225.0,4.1,37.3,,,15.1,35.0,48.0,37.3,
2011,Cugy (FR),La Broye,4.52,2030.0,86.0,4.2,27.7,,,14.5,35.9,56.2,27.7,
2114,Villorsonnens,La Glâne,4.88,1546.0,72.0,4.7,29.3,,,20.2,40.2,28.3,29.3,
2140,Marsens,La Gruyère,0.69,2130.0,65.0,3.1,40.2,,,20.0,26.5,20.1,40.2,
2175,Belfaux,La Sarine,3.26,3452.0,145.0,4.2,30.4,,,19.1,35.9,30.3,30.4,
2262,Gurmels,See,1.08,4675.0,189.0,4.0,39.9,,,15.1,34.2,45.6,39.9,
5497,Pompaples,Morges,2.71,932.0,37.0,4.0,37.1,6086.0,estimé (voisinage),8.8,34.2,80.9,37.1,89.2
5516,Cugy (VD),Gros-de-Vaud,2.25,2787.0,143.0,5.1,32.8,6709.0,indicative (1-4),14.0,43.6,53.7,32.8,86.5
5537,Villars-le-Terroir,Gros-de-Vaud,1.67,1308.0,59.0,4.5,35.1,7259.0,estimé (voisinage),14.0,38.5,52.5,35.1,84.1
5665,Chavannes-sur-Moudon,Broye-Vully,0.96,229.0,14.0,6.1,34.7,4590.0,indicative (1-4),17.0,52.1,35.8,34.7,95.7
5713,Crans (VD),Nyon,2.78,2445.0,140.0,5.7,70.4,11124.0,indicative (1-4),11.0,48.7,70.0,70.4,67.2
5827,Trey,Broye-Vully,3.24,318.0,11.0,3.5,27.6,5949.0,indicative (1-4),17.0,29.9,40.8,27.6,89.8
5857,Gilly,Nyon,1.26,1441.0,51.0,3.5,64.3,13875.0,indicative (1-4),11.0,29.9,66.7,64.3,55.2
5886,Montreux,Riviera-Pays-d'Enhaut,1.75,26955.0,1976.0,7.3,30.1,11721.0,solide (5+),17.4,62.4,35.5,30.1,64.6
5924,Orges,Jura-Nord vaudois,1.98,424.0,12.0,2.8,32.1,6213.0,annonces (surface estimée),17.0,23.9,38.0,32.1,88.6
6632,Perly-Certoux,Genève,1.61,3304.0,184.0,5.6,35.5,,,12.4,47.9,60.4,35.5,
6638,Satigny,Genève,0.22,4713.0,239.0,5.1,39.3,,,12.4,43.6,57.4,39.3,
2121,Haut-Intyamon,La Gruyère,5.27,1774.0,89.0,5.0,13.5,,,20.0,42.7,30.1,13.5,
2197,Givisiez,La Sarine,0.2,3457.0,110.0,3.2,42.8,,,19.1,27.4,23.6,42.8,
2299,Plaffeien,Sense,5.75,3693.0,245.0,6.6,18.2,,,14.4,56.4,59.4,18.2,
2029,Montagny (FR),La Broye,7.04,3037.0,118.0,3.9,27.8,,,14.5,33.3,61.7,27.8,
2079,Grangettes,La Glâne,5.83,212.0,3.0,1.4,26.6,,,20.2,12.0,30.3,26.6,
2138,Jaun,La Gruyère,8.55,657.0,53.0,8.1,11.0,,,20.0,69.2,37.3,11.0,
2295,Bösingen,Sense,4.88,3360.0,170.0,5.1,40.7,,,14.4,43.6,57.5,40.7,
5413,Roche (VD),Aigle,4.7,1994.0,69.0,3.5,30.6,6825.0,indicative (1-4),23.7,29.9,10.3,30.6,86.0
5428,Gimel,Morges,6.93,2457.0,114.0,4.6,27.3,7726.0,indicative (1-4),8.8,39.3,90.1,27.3,82.0
5429,Longirod,Nyon,6.38,556.0,23.0,4.1,33.0,9400.0,indicative (1-4),11.0,35.0,77.9,33.0,74.7
5456,Cudrefin,Broye-Vully,6.36,1885.0,81.0,4.3,56.3,8730.0,indicative (1-4),17.0,36.8,47.6,56.3,77.7
5476,Chevilly,Morges,3.02,346.0,10.0,2.9,51.4,6353.0,estimé (voisinage),8.8,24.8,81.6,51.4,88.0
5481,Dizy,Morges,2.47,238.0,8.0,3.4,33.1,7759.0,estimé (voisinage),8.8,29.1,80.4,33.1,81.9
5503,Vufflens-la-Ville,Gros-de-Vaud,2.6,1342.0,63.0,4.7,52.2,9801.0,indicative (1-4),14.0,40.2,54.5,52.2,73.0
5515,Bretigny-sur-Morrens,Gros-de-Vaud,4.05,899.0,22.0,2.4,34.8,6946.0,estimé (voisinage),14.0,20.5,57.7,34.8,85.4
5533,Poliez-Pittet,Gros-de-Vaud,4.65,850.0,47.0,5.5,39.9,5267.0,indicative (1-4),14.0,47.0,59.0,39.9,92.8
5552,Bullet,Jura-Nord vaudois,3.86,681.0,56.0,8.2,24.0,9047.0,indicative (1-4),17.0,70.1,42.2,24.0,76.3
5584,Epalinges,Lausanne,0.49,9905.0,566.0,5.7,48.5,11155.0,solide (5+),15.6,48.7,41.8,48.5,67.1
5606,Lutry,Lavaux-Oron,1.9,10751.0,871.0,8.1,67.3,14210.0,solide (5+),9.3,69.2,76.6,67.3,53.7
5643,Préverenges,Morges,3.43,5260.0,326.0,6.2,46.4,11409.0,solide (5+),8.8,53.0,82.5,46.4,66.0
5744,Ballaigues,Jura-Nord vaudois,9.94,1218.0,92.0,7.6,33.4,6253.0,estimé (voisinage),17.0,65.0,55.4,33.4,88.5
5752,Croy,Jura-Nord vaudois,4.1,403.0,44.0,10.9,26.2,6086.0,estimé (voisinage),17.0,93.2,42.7,26.2,89.2
5806,Jorat-Mézières,Lavaux-Oron,1.29,3189.0,129.0,4.0,37.7,9117.0,annonces (surface estimée),9.3,34.2,75.3,37.7,76.0
6617,Cologny,Genève,1.99,6027.0,457.0,7.6,71.8,,,12.4,65.0,61.2,71.8,
6634,Pregny-Chambésy,Genève,1.29,4262.0,260.0,6.1,47.6,,,12.4,52.1,59.7,47.6,
2051,Delley-Portalban,La Broye,2.42,1319.0,65.0,4.9,56.7,,,14.5,41.9,51.6,56.7,
2054,Estavayer,La Broye,0.68,10623.0,490.0,4.6,28.4,,,14.5,39.3,47.8,28.4,
2063,Billens-Hennens,La Glâne,1.69,903.0,35.0,3.9,19.2,,,20.2,33.3,21.3,19.2,
2135,Gruyères,La Gruyère,2.83,2339.0,87.0,3.7,31.9,,,20.0,31.6,24.8,31.9,
2160,Vuadens,La Gruyère,1.96,2579.0,97.0,3.8,28.8,,,20.0,32.5,22.9,28.8,
2234,La Brillaz,La Sarine,2.06,2208.0,79.0,3.6,33.2,,,19.1,30.8,27.7,33.2,
5631,Denens,Morges,3.47,742.0,44.0,5.9,52.7,15113.0,annonces (surface estimée),8.8,50.4,82.6,52.7,49.8
5636,Etoy,Morges,6.84,2962.0,151.0,5.1,44.5,10401.0,indicative (1-4),8.8,43.6,89.9,44.5,70.4
5693,Montanaire,Gros-de-Vaud,3.82,2860.0,112.0,3.9,35.5,7459.0,indicative (1-4),14.0,33.3,57.2,35.5,83.2
5701,Arnex-sur-Nyon,Nyon,3.69,270.0,8.0,3.0,52.6,11333.0,estimé (voisinage),11.0,25.6,72.0,52.6,66.3
5709,Chéserex,Nyon,6.55,1279.0,65.0,5.1,67.5,11333.0,estimé (voisinage),11.0,43.6,78.2,67.5,66.3
5766,Vuiteboeuf,Jura-Nord vaudois,4.22,608.0,17.0,2.8,20.2,6213.0,estimé (voisinage),17.0,23.9,42.9,20.2,88.6
5859,Mont-sur-Rolle,Nyon,1.84,2752.0,136.0,4.9,50.7,11155.0,indicative (1-4),11.0,41.9,67.9,50.7,67.1
5860,Perroy,Nyon,4.02,1584.0,67.0,4.2,54.6,10769.0,indicative (1-4),11.0,35.9,72.7,54.6,68.8
5926,Pomy,Jura-Nord vaudois,1.77,876.0,38.0,4.3,41.3,6714.0,estimé (voisinage),17.0,36.8,37.6,41.3,86.4
2027,Ménières,La Broye,2.46,445.0,13.0,2.9,32.7,,,14.5,24.8,51.7,32.7,
2117,Villaz,La Glâne,5.38,2409.0,75.0,3.1,29.5,,,20.2,26.5,29.4,29.5,
2124,Broc,La Gruyère,1.04,2848.0,132.0,4.6,19.1,,,20.0,39.3,20.9,19.1,
2328,Granges (Veveyse),La Veveyse,3.49,977.0,44.0,4.5,26.6,,,19.6,38.5,28.3,26.6,
5483,Ferreyres,Morges,2.6,309.0,8.0,2.6,41.2,6086.0,estimé (voisinage),8.8,22.2,80.7,41.2,89.2
5559,Giez,Jura-Nord vaudois,1.37,464.0,28.0,6.0,45.7,8333.0,indicative (1-4),17.0,51.3,36.7,45.7,79.4
5611,Savigny,Lavaux-Oron,3.46,3517.0,181.0,5.1,40.0,10422.0,indicative (1-4),9.3,43.6,80.0,40.0,70.3
5650,Vaux-sur-Morges,Morges,3.13,185.0,13.0,7.0,55.2,14471.0,estimé (voisinage),8.8,59.8,81.8,55.2,52.6
